,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NEW PC REGISTRATIONS OR SALES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Estimated figures,,,,,,,,,,,,,,,,,,,,,,,
REGIONS,COUNTRIES,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROPE,AUSTRIA,,,,"3,07,915","3,08,594","2,98,182","2,93,697","3,19,403","3,28,563","3,56,145","3,36,010","3,19,035","3,03,318",,,,,,,,,,,,,,
EUROPE,BELGIUM,,,,"4,80,088","5,26,141","5,24,795","5,35,947","4,76,194","5,47,340","5,72,211","4,86,737","4,86,065","4,82,939",,,,,,,,,,,,,,
EUROPE,DENMARK,,,,"1,48,819","1,56,936","1,62,686","1,50,199","1,12,454","1,53,858","1,70,036","1,70,763","1,82,086","1,89,051",,,,,,,,,,,,,,
EUROPE,FINLAND,,,,"1,48,161","1,45,700","1,25,608","1,39,669","90,574","1,11,968","1,26,123","1,11,251","1,03,455","1,06,236",,,,,,,,,,,,,,
EUROPE,FRANCE,,,,"21,18,042","20,45,745","21,09,672","20,91,369","23,02,398","22,51,669","22,04,229","18,98,760","17,90,456","17,95,885",,,,,,,,,,,,,,
EUROPE,GERMANY,,,,"33,19,259","34,67,961","31,48,163","30,90,040","38,07,175","29,16,259","31,73,634","30,82,504","29,52,431","30,36,773",,,,,,,,,,,,,,
EUROPE,GREECE,,,,"2,69,728","2,67,669","2,79,745","2,67,295","2,19,730","1,41,501","97,680","58,482","58,694","71,218",,,,,,,,,,,,,,
EUROPE,ICELAND,,,,"18,060","17,129","15,942","9,033","2,113","3,106","5,038","7,902","7,274","9,536",,,,,,,,,,,,,,
EUROPE,IRELAND,,,,"1,71,742","1,78,484","1,86,325","1,51,607","57,453","88,446","89,911","79,498","74,367","96,344",,,,,,,,,,,,,,
EUROPE,ITALY,,,,"22,44,108","23,35,462","24,94,115","21,61,359","21,59,465","19,61,580","17,49,740","14,03,010","13,04,648","13,60,293",,,,,,,,,,,,,,
EUROPE,LUXEMBOURG,,,,"48,517","50,837","51,332","52,359","47,265","49,726","49,881","50,398","46,624","49,793",,,,,,,,,,,,,,
EUROPE,NETHERLANDS,,,,"4,65,196","4,83,999","5,04,300","4,99,980","3,87,699","4,82,531","5,55,812","5,02,544","4,16,717","3,87,835",,,,,,,,,,,,,,
EUROPE,NORWAY,,,,"1,09,907","1,09,164","1,29,195","1,10,617","98,675","1,27,754","1,38,345","1,37,967","1,42,151","1,44,202",,,,,,,,,,,,,,
EUROPE,PORTUGAL,,,,"2,06,488","1,94,702","2,01,816","2,13,389","1,61,013","2,23,464","1,53,404","95,309","1,05,921","1,42,826",,,,,,,,,,,,,,
EUROPE,SPAIN,,,,"15,28,877","16,34,608","16,14,835","11,61,176","9,52,772","9,82,015","8,08,051","6,99,589","7,22,689","8,55,308",,,,,,,,,,,,,,
EUROPE,SWEDEN,,,,"2,74,301","2,82,766","3,06,794","2,53,982","2,13,408","2,89,684","3,04,984","2,79,899","2,69,599","3,03,948",,,,,,,,,,,,,,
EUROPE,SWITZERLAND (+FL),,,,"2,66,770","2,69,421","2,84,674","2,88,525","2,66,018","2,94,239","3,18,958","3,28,139","3,07,885","3,01,942",,,,,,,,,,,,,,
EUROPE,UNITED KINGDOM,,,,"24,39,717","23,44,864","24,04,007","21,31,795","19,94,999","20,30,846","19,41,253","20,44,609","22,64,737","24,76,435",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,BULGARIA*,,,,"25,956","36,455","43,521","45,143","22,869","16,257","19,250","19,419","19,352","20,359",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,CROATIA,,,,"70,541","78,775","82,664","88,265","44,918","38,587","41,561","31,360","27,802","33,997",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,CYPRUS,,,,"17,687","18,639","22,878","22,241","14,981","14,088","13,480","10,123","7,000","7,794",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,CZECH REPUBLIC,,,,"1,51,699","1,56,686","1,74,456","1,82,554","1,67,708","1,69,580","1,73,595","1,74,009","1,64,736","1,92,314",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,ESTONIA,,,,"19,640","25,363","30,912","24,579","9,946","10,295","17,070","19,424","19,694","20,861",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,HUNGARY,,,,"1,98,982","1,87,676","1,71,661","1,53,278","60,189","43,476","45,094","53,059","56,139","67,476",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,LATVIA,,,,"10,467","14,234","21,606","22,217","7,515","7,970","13,234","10,665","10,636","12,452",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,LITHUANIA,,,,"16,602","25,582","32,771","19,831","5,367","6,365","10,980","12,165","12,163","14,503",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,MALTA,,,,"6,552","6,745","6,240","5,423","5,894","4,056","5,428","5,884","5,749","6,451",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,POLAND,,,,"2,07,007","2,24,728","2,77,427","3,19,190","2,76,220","3,15,855","2,77,427","2,72,719","2,89,913","3,27,709",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,ROMANIA,,,,"2,14,967","2,47,411","3,12,533","2,85,506","1,16,016","94,441","81,709","66,436","57,710","70,172",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,SLOVAKIA,,,,"56,916","59,084","59,700","70,040","74,717","64,033","68,203","69,268","66,000","72,249",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,SLOVENIA,,,,"59,324","59,578","68,719","71,575","57,967","61,142","60,193","50,091","52,268","53,296",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",ALBANIA,,,,800,800,"1,600","1,600","1,000","1,600","2,100","2,300","2,300","2,500",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",ARMENIA,,,,"11,000","12,000","6,000","4,000","4,000","4,000","4,000","5,000","5,000","5,200",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",BELARUS,,,,"9,000","13,000","20,000","22,000","12,000","15,000","15,000","20,000","19,600","22,300",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",BOSNIA,,,,"10,000","10,000","15,000","13,000","12,000","10,000","10,000","10,000","9,800","8,900",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",GEORGIA,,,,"1,500","2,000","6,000","8,000","1,000","4,000","3,000","4,000","4,000","4,300",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",MACEDONIA,,,,"9,300","10,000","10,200","10,500","6,000","8,500","8,500","5,000","2,000","2,700",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",MOLDAVIA,,,,"4,000","5,000","7,000","11,000","4,000","5,000","5,500","5,000","5,000","5,600",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",RUSSIA,,,,"15,20,225","19,11,240","25,14,920","28,97,459","14,65,742","19,12,794","26,53,688","27,55,384","26,49,181","22,86,877",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",SERBIA,,,,"21,603","25,610","32,772","36,177","30,000","28,951","22,181","22,800","23,000","23,900",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",TURKEY,,,,"4,38,597","3,73,219","3,57,465","3,05,998","3,69,819","5,09,784","5,93,519","5,56,280","6,64,655","5,87,331",,,,,,,,,,,,,,
